video_id,title,channel,published,url,query_used
kCjswDKugZo,"Shooting, Packing, Cribbing and much more! | Vlog  | #RealTalkTuesday",MostlySane,2021-11-02T14:09:06Z,https://www.youtube.com/watch?v=kCjswDKugZo,Mostly Sane vlog 2024
eeg7cbVTH2s,"A Week In Lockdown, ALMOST! | VLOG | #SawaalSaturday | MostlySane",MostlySane,2020-08-01T15:56:17Z,https://www.youtube.com/watch?v=eeg7cbVTH2s,Mostly Sane vlog 2024
zvRlRnH2D30,A Chaotic Day In My Life | Vlog | #RealTalkTuesday | MostlySane,MostlySane,2024-05-14T14:43:06Z,https://www.youtube.com/watch?v=zvRlRnH2D30,Mostly Sane vlog 2024
o0Pfy9bCkdU,"Gauri Poojan, Shooting after 5 months and MUCH MORE!! | #SawaalSaturday VLOG | MostlySane",MostlySane,2020-08-29T09:27:12Z,https://www.youtube.com/watch?v=o0Pfy9bCkdU,Mostly Sane vlog 2024
beAP42r0XSc,Get Ready With Me Vlog  | #RealTalkTuesday | MostlySane,MostlySane,2023-02-28T16:05:15Z,https://www.youtube.com/watch?v=beAP42r0XSc,Mostly Sane vlog 2024
vcBpB_AnbfI,Last Minute Packing Vlog  | #RealTalkTuesday  | MostlySane,MostlySane,2024-07-17T15:18:15Z,https://www.youtube.com/watch?v=vcBpB_AnbfI,Mostly Sane vlog 2024
8GqbcT5V3Rc,30 Hour Vlog | Real Talk Tuesday | MostlySane,MostlySane,2022-02-08T15:39:33Z,https://www.youtube.com/watch?v=8GqbcT5V3Rc,Mostly Sane vlog 2024
1Mc8ZaOCrb8,Shoot Day Vlog | #RealTalkTuesday | MostlySane,MostlySane,2021-08-17T18:40:21Z,https://www.youtube.com/watch?v=1Mc8ZaOCrb8,Mostly Sane vlog 2024
4299AqkU-XY,I saw the Mona Lisa in Paris! | Paris Vlog | MostlySane,MostlySane,2018-05-29T12:48:26Z,https://www.youtube.com/watch?v=4299AqkU-XY,Mostly Sane vlog 2024
4P0vCRh5Q9Y,My First SnowFall! | Prague Vlog #1 | MostlySane,MostlySane,2017-12-17T10:51:09Z,https://www.youtube.com/watch?v=4P0vCRh5Q9Y,Mostly Sane vlog 2024
vNBf_FkpE_A,My NewYork Vlog | #RealTalkTuesday | MostlySane,MostlySane,2019-10-01T17:39:09Z,https://www.youtube.com/watch?v=vNBf_FkpE_A,Mostly Sane vlog 2024
hBZjhtRA1tw,Chatty Unwinding Routine On A Work Day  | MostlySane,MostlySane,2024-11-07T10:07:05Z,https://www.youtube.com/watch?v=hBZjhtRA1tw,Mostly Sane vlog 2024
KhYKx_i5MqA,Someone Likes Montu ft. Mithila Palkar | MostlySane,MostlySane,2021-09-30T16:52:57Z,https://www.youtube.com/watch?v=KhYKx_i5MqA,Mostly Sane vlog 2024
ldtVT6Q57EM,If My Organs Were People | MostlySane,MostlySane,2021-12-16T16:47:27Z,https://www.youtube.com/watch?v=ldtVT6Q57EM,Mostly Sane vlog 2024
o9WroF1pN5Q,How to easily develop a reading habit | RealTalk | MostlySane,MostlySane,2026-05-17T14:07:00Z,https://www.youtube.com/watch?v=o9WroF1pN5Q,Mostly Sane vlog 2024
AJLDflsifiU,If My Brain Was A Person | MostlySane,MostlySane,2021-02-04T15:28:00Z,https://www.youtube.com/watch?v=AJLDflsifiU,Mostly Sane vlog 2024
xPq83t2EPKQ,If My Family Was A News Channel | MostlySane,MostlySane,2021-10-21T17:26:33Z,https://www.youtube.com/watch?v=xPq83t2EPKQ,Mostly Sane vlog 2024
ihcKFK_bpBY,Vlog style #SawaalSaturday | MostlySane,MostlySane,2020-07-18T16:26:05Z,https://www.youtube.com/watch?v=ihcKFK_bpBY,Mostly Sane vlog 2024
0f_WYkbpxjM,Rich People Problems | MostlySane,MostlySane,2021-12-02T16:19:05Z,https://www.youtube.com/watch?v=0f_WYkbpxjM,Mostly Sane vlog 2024
tWj_MFPA-Pc,Chutti Ka Din - A Day In My Life Vlog | #RealTalkTuesday,MostlySane,2019-05-14T11:35:49Z,https://www.youtube.com/watch?v=tWj_MFPA-Pc,Mostly Sane vlog 2024
xMqrR3jot9U,Montu Ke Future Plans? | MostlySane,MostlySane,2021-04-01T15:18:04Z,https://www.youtube.com/watch?v=xMqrR3jot9U,Mostly Sane vlog 2024
VqT2Znm5cBo,Koli Family And Monsoons | MostlySane,MostlySane,2021-07-22T16:18:37Z,https://www.youtube.com/watch?v=VqT2Znm5cBo,Mostly Sane vlog 2024
q9ygCQizb6g,Things I Do When I Am Alone In My Room! | MostlySane,MostlySane,2020-06-25T15:50:22Z,https://www.youtube.com/watch?v=q9ygCQizb6g,Mostly Sane vlog 2024
YT2T9CsdXs4,Goa Trip Fail | MostlySane,MostlySane,2018-09-27T14:23:39Z,https://www.youtube.com/watch?v=YT2T9CsdXs4,Mostly Sane vlog 2024
aNYg8ctynx8,Maa Ko Gussa Kyun Aata Hai | MostlySane,MostlySane,2019-08-29T15:06:57Z,https://www.youtube.com/watch?v=aNYg8ctynx8,Mostly Sane vlog 2024
QMHiE2n3-NI,Indian Families In Train Journey | MostlySane,MostlySane,2021-03-11T15:48:21Z,https://www.youtube.com/watch?v=QMHiE2n3-NI,Mostly Sane vlog 2024
9zpCm1x7tpM,Thoughts At Indian Weddings | MostlySane,MostlySane,2020-12-10T17:23:36Z,https://www.youtube.com/watch?v=9zpCm1x7tpM,Mostly Sane vlog 2024
SrGLoCnqP0A,Thoughts of Your Fridge | MostlySane,MostlySane,2020-04-16T12:33:09Z,https://www.youtube.com/watch?v=SrGLoCnqP0A,Mostly Sane vlog 2024
TIJY4Qv90jQ,Every Family Meal Ever | MostlySane,MostlySane,2019-01-31T15:33:10Z,https://www.youtube.com/watch?v=TIJY4Qv90jQ,Mostly Sane vlog 2024
C3PmpxK5sOE,WRONG NUMBER | MostlySane,MostlySane,2020-12-17T15:19:32Z,https://www.youtube.com/watch?v=C3PmpxK5sOE,Mostly Sane vlog 2024
W1l8chrDC-s,Indian Moms Ke Nuskhey | MostlySane,MostlySane,2020-08-27T17:48:59Z,https://www.youtube.com/watch?v=W1l8chrDC-s,Mostly Sane vlog 2024
UBLsh6rEPL0,Bollywood Brothers vs My Brother | MostlySane,MostlySane,2020-12-03T17:02:34Z,https://www.youtube.com/watch?v=UBLsh6rEPL0,Mostly Sane vlog 2024
rAisEqV6Yjc,Types of Friends Before Exams | MostlySane,MostlySane,2018-02-22T14:56:27Z,https://www.youtube.com/watch?v=rAisEqV6Yjc,Mostly Sane vlog 2024
DdTJnaLoBLA,My Work From Home Routine  | #RealTalkTuesday | MostlySane,MostlySane,2024-06-18T15:12:24Z,https://www.youtube.com/watch?v=DdTJnaLoBLA,Mostly Sane vlog 2024
uNtY6HpiM4M,Bhai vs Behen | MostlySane,MostlySane,2018-05-03T12:49:29Z,https://www.youtube.com/watch?v=uNtY6HpiM4M,Mostly Sane vlog 2024
A2sdiZo4ku8,Every Family Dinner Ever | MostlySane,MostlySane,2019-05-02T16:51:32Z,https://www.youtube.com/watch?v=A2sdiZo4ku8,Mostly Sane vlog 2024
N77EpQB8wgY,Kanjoosi Ki Haddh | MostlySane,MostlySane,2020-09-10T15:43:05Z,https://www.youtube.com/watch?v=N77EpQB8wgY,Mostly Sane vlog 2024
fJ9R4-Nqy3g,How I Deal With Self Doubt | #RealTalkTuesday | MostlySane,MostlySane,2020-12-08T15:33:36Z,https://www.youtube.com/watch?v=fJ9R4-Nqy3g,Mostly Sane vlog 2024
3HZF-F1rlZ4,Baba Ke Relationship Hacks | MostlySane,MostlySane,2019-09-05T17:22:36Z,https://www.youtube.com/watch?v=3HZF-F1rlZ4,Mostly Sane vlog 2024
ptww614Zcck,Excuses We All Give | MostlySane,MostlySane,2020-10-29T13:38:28Z,https://www.youtube.com/watch?v=ptww614Zcck,Mostly Sane vlog 2024
pCD35XZLLZI,Nayi Padosan | MostlySane,MostlySane,2021-10-14T14:29:31Z,https://www.youtube.com/watch?v=pCD35XZLLZI,Mostly Sane vlog 2024
GuNpxJH68PE,If Aunties Were Honest | MostlySane,MostlySane,2020-10-08T14:23:28Z,https://www.youtube.com/watch?v=GuNpxJH68PE,Mostly Sane vlog 2024
tQYUW79yzbs,Lockdown Thoughts | MostlySane,MostlySane,2020-05-28T14:10:28Z,https://www.youtube.com/watch?v=tQYUW79yzbs,Mostly Sane vlog 2024
PiAYOIqW-4E,Moms vs Kabaadiwala | Aai PL | MostlySane,MostlySane,2020-09-24T13:28:32Z,https://www.youtube.com/watch?v=PiAYOIqW-4E,Mostly Sane vlog 2024
dj80f8rUDPI,Bollywood Parents vs My Parents | MostlySane,MostlySane,2020-11-05T16:54:01Z,https://www.youtube.com/watch?v=dj80f8rUDPI,Mostly Sane vlog 2024
FuoSbd5CmC0,Quarantine Ke Din! | MostlySane,MostlySane,2020-04-02T12:30:12Z,https://www.youtube.com/watch?v=FuoSbd5CmC0,Mostly Sane vlog 2024
CLU8nEGIdmc,Montu&#39;s Morning Routine | MostlySane,MostlySane,2020-07-23T12:58:54Z,https://www.youtube.com/watch?v=CLU8nEGIdmc,Mostly Sane vlog 2024
J5n2fzF6TaM,Montu Ban Gaya Topper | MostlySane,MostlySane,2021-11-18T17:11:09Z,https://www.youtube.com/watch?v=J5n2fzF6TaM,Mostly Sane vlog 2024
CJgXrf8S0EM,Dadi Aa Rahi Hai | MostlySane,MostlySane,2019-09-12T14:32:53Z,https://www.youtube.com/watch?v=CJgXrf8S0EM,Mostly Sane vlog 2024
29G99m3FyBA,Change of Plans | MostlySane,MostlySane,2018-10-25T14:14:37Z,https://www.youtube.com/watch?v=29G99m3FyBA,Mostly Sane vlog 2024
mEVJ0sEQj-U,Kids Special - Masti Time With Aariv &amp; Alyza | The Ranveer Show ,Ranveer Allahbadia,2025-08-08T15:36:18Z,https://www.youtube.com/watch?v=mEVJ0sEQj-U,Ranveer Allahbadia podcast Hindi English
FRTpI2Gu1KA,Indian Monk Explains Bhagawad Gita In 7 Minutes | Gaur Gopal Das on TRS,BeerBiceps,2020-06-02T16:49:21Z,https://www.youtube.com/watch?v=FRTpI2Gu1KA,Ranveer Allahbadia podcast Hindi English
KN_gFzji_bQ,5 Easy Steps To Fix Your English (PRACTICAL TIPS) - BeerBiceps,Life Of BeerBiceps,2026-01-19T15:30:10Z,https://www.youtube.com/watch?v=KN_gFzji_bQ,Ranveer Allahbadia podcast Hindi English
X3MG4fEJiF0,5 EASY Tips To Improve Your Communication Skills (Actually Works) | Ranveer Allahbadia,Ranveer Allahbadia,2018-05-11T14:50:06Z,https://www.youtube.com/watch?v=X3MG4fEJiF0,Ranveer Allahbadia podcast Hindi English
pnKbCs9hr_w,"Akshay Kumar&#39;s BEST Advice For Youth - Money, Health &amp; Family",TRS Clips | The Ranveer Show Clips,2024-04-08T05:30:14Z,https://www.youtube.com/watch?v=pnKbCs9hr_w,Ranveer Allahbadia podcast Hindi English
E0wanuJJPQs,The Horrifying True Story of Jeffrey Epstein,TRS Clips | The Ranveer Show Clips,2026-01-21T13:20:02Z,https://www.youtube.com/watch?v=E0wanuJJPQs,Ranveer Allahbadia podcast Hindi English
04Fd6zzR-0o,Why Men Rape? Uorfi Javed&#39;s Strong Message,TRS Clips | The Ranveer Show Clips,2023-05-13T15:55:00Z,https://www.youtube.com/watch?v=04Fd6zzR-0o,Ranveer Allahbadia podcast Hindi English
0A6TIiy5DCU,ILLUMINATI : Detailed Hindi Explanation &amp; Reality (Shocking),TRS Clips | The Ranveer Show Clips,2025-12-20T13:18:25Z,https://www.youtube.com/watch?v=0A6TIiy5DCU,Ranveer Allahbadia podcast Hindi English
mrvEB0rE84Q,Hanuman चिरंजीवी कैसे बने? Kalki Avatar की मदद करेंगे? | Ranveer Allahbadia | TRS Clips हिंदी,TRS Clips | The Ranveer Show Clips,2022-10-29T16:27:26Z,https://www.youtube.com/watch?v=mrvEB0rE84Q,Ranveer Allahbadia podcast Hindi English
zJ69uJv93E8,Do Lawyers Really EARN ₹1 Crore Per Day? Income Revealed,TRS Clips | The Ranveer Show Clips,2023-03-13T13:00:43Z,https://www.youtube.com/watch?v=zJ69uJv93E8,Ranveer Allahbadia podcast Hindi English
R_YI2Ryb3hk,My Satanic Church Visit 😨 - Yo Yo Honey Singh | Ranveer Allahbadia | TRS Clips हिंदी,TRS Clips | The Ranveer Show Clips,2023-05-24T16:45:00Z,https://www.youtube.com/watch?v=R_YI2Ryb3hk,Ranveer Allahbadia podcast Hindi English
